domain_score,market_score,experience_score,cost_per_month,final_score
20,30,15,13221,38
10,20,20,21772,27
10,30,10,36402,18
10,5,15,30614,17
10,5,10,26856,18
25,10,10,39896,15
10,5,15,3449,35
25,30,15,5548,44
30,5,10,29500,23
30,30,15,5586,46
30,30,15,34153,27
20,20,15,4541,41
15,20,15,12685,34
30,10,10,28039,25
10,30,20,17849,33
10,5,15,34160,14
15,30,10,4196,41
15,30,15,9631,39
15,10,20,38699,15
30,5,20,17864,32
30,5,10,26662,24
25,5,10,38286,15
10,30,15,28346,25
20,10,15,18021,29
30,5,20,7604,39
25,25,15,29709,27
25,25,10,10314,39
20,5,20,10553,34
30,5,15,36811,19
25,25,15,3956,44
20,5,20,25735,24
10,5,10,27059,18
25,25,20,31471,27
25,25,20,37000,23
15,10,10,37860,14
15,25,15,33535,21
25,25,15,21083,33
25,25,10,21232,32
30,5,20,23636,28
10,20,10,10004,33
25,5,15,23342,26
30,25,20,24223,33
10,20,10,24678,24
30,25,15,3480,46
10,30,20,29612,25
30,20,20,6056,44
30,20,10,36728,22
25,5,15,39248,16
25,25,10,28719,27
15,10,15,16019,29
15,10,10,7218,34
20,5,20,15785,31
10,30,15,33451,21
30,30,20,39232,24
15,30,20,34485,23
15,10,15,16014,29
25,25,15,10704,40
10,5,15,19798,24
15,10,20,33437,19
20,20,20,21458,31
30,25,20,9281,43
30,5,20,17720,32
15,25,15,14010,34
10,20,20,21510,28
30,5,15,17740,31
30,5,15,26886,25
10,20,10,22115,25
20,25,15,15988,35
15,25,20,5847,41
10,30,10,8641,37
30,20,20,3789,45
15,5,20,32884,18
25,20,20,21536,32
10,30,10,7608,37
15,25,20,37971,19
15,5,15,8354,33
20,20,10,35943,19
20,30,20,21844,33
20,20,15,6364,40
30,30,10,34633,25
15,5,20,5362,36
20,10,15,9746,35
10,10,20,3034,37
15,5,10,29860,18
25,30,20,10263,42
25,5,20,10525,36
10,5,15,32584,16
15,25,20,11212,37
10,25,10,19585,28
25,25,15,16952,35
15,20,20,17839,32
10,20,10,32060,19
15,25,15,22623,29
30,25,10,27468,29
15,5,15,12499,30
25,10,10,25333,25
10,10,10,15192,27
30,30,20,16661,39
15,25,10,34522,20
20,20,10,18674,31
10,30,15,22887,28
10,25,20,9394,37
20,5,10,5452,36
30,30,10,35932,25
30,10,10,22570,28
20,25,15,18636,33
15,10,10,18606,27
30,25,15,6478,44
20,5,20,15686,31
20,30,15,22344,32
20,30,15,9847,40
30,5,10,35386,19
10,5,10,14950,26
10,25,15,22175,27
15,30,20,35301,22
10,25,15,35542,19
10,30,10,15386,32
25,10,20,22157,29
15,30,10,21441,30
15,10,15,19167,27
30,5,15,18153,31
25,20,15,22032,31
25,25,20,3224,46
25,20,10,32497,23
20,25,20,12275,38
30,25,10,39584,21
25,5,15,3957,39
15,5,10,29781,18
30,30,15,19413,37
20,10,10,31316,20
10,20,10,11540,32
15,20,15,6551,38
30,10,10,15868,33
25,5,20,29744,23
10,5,10,23439,21
10,20,20,37015,17
20,5,10,10342,32
25,25,15,4290,44
20,30,15,36918,22
15,25,20,39790,18
30,10,15,39267,18
15,20,10,7219,37
10,20,20,18137,30
15,30,15,28480,26
10,20,15,11652,33
15,20,15,22539,27
20,10,10,16771,29
15,20,20,16401,33
10,5,15,14703,27
20,5,10,29345,20
15,5,20,27966,21
30,10,10,37876,18
15,5,10,10508,31
15,20,20,23272,28
30,10,15,30825,24
30,10,10,19933,30
25,25,20,25134,31
25,5,15,6679,37
25,30,15,6215,44
15,10,20,4159,38
20,20,20,16372,34
25,20,20,23252,31
20,10,10,7742,35
30,10,10,15565,33
20,30,10,24715,29
25,10,20,23975,28
30,30,10,22830,33
30,25,20,22631,34
15,30,15,12808,36
10,20,10,36462,16
10,20,10,20159,27
20,30,10,17518,34
10,10,15,29729,19
10,5,20,27057,20
30,30,10,20440,35
20,10,10,4394,38
10,5,15,6309,33
30,20,10,29388,26
30,10,15,27003,26
25,25,15,7175,42
30,10,20,14629,36
10,5,20,39607,12
30,30,20,34124,28
30,5,20,21223,30
10,30,20,37805,19
20,10,20,21442,28
10,10,10,8987,32
30,5,20,8195,39
15,30,10,22670,29
20,30,20,19748,34
30,20,15,11651,39
15,30,15,38063,20
25,25,10,21405,31
20,10,10,39659,14
20,10,15,36121,17
10,30,10,10393,36
25,30,20,6796,44
20,25,20,7287,41
30,20,10,19671,33
15,30,20,23989,30
10,25,15,6283,38
10,10,10,36418,13
20,10,20,24982,26
30,30,20,22706,35
20,5,10,15057,29
15,5,15,35551,15
10,30,15,35085,20
15,20,10,7223,37
20,10,20,21604,28
30,5,10,12331,34
20,30,10,26502,28
30,30,15,3444,47
30,5,20,34499,21
15,30,15,7970,40
20,20,20,10001,38
30,30,15,4999,46
20,5,15,12542,32
10,25,10,35911,17
30,25,15,29336,29
15,10,15,39801,13
15,10,15,21293,26
10,5,15,14390,28
30,30,15,17911,38
10,25,15,10759,35
15,30,15,20476,31
15,10,20,27642,23
10,30,20,33130,22
15,30,15,16817,34
25,5,20,12811,34
30,25,10,26924,29
30,10,10,29799,24
10,30,10,21492,28
25,20,20,17408,35
10,5,15,34942,14
20,10,15,27750,23
10,10,20,27227,21
25,10,15,28616,24
30,5,15,23605,28
10,5,10,6397,32
15,30,20,37683,21
30,20,10,11142,39
20,20,20,10685,38
10,10,15,3452,36
15,20,20,24460,27
25,30,15,19718,35
10,30,20,8442,39
10,20,15,9647,35
25,20,15,28163,27
15,30,20,34663,23
30,10,10,26861,26
20,25,10,33807,22
20,25,20,9499,40
30,20,10,28373,27
30,30,15,16252,39
20,25,10,25532,27
25,10,15,26173,26
25,10,10,38423,16
30,10,15,7233,40
10,30,15,5240,40
20,30,15,16459,36
30,5,10,15725,32
30,30,15,8439,44
25,30,20,15992,38
10,5,10,32957,14
25,30,10,31673,26
25,5,15,9142,36
20,20,15,31328,23
30,5,20,32341,23
30,10,10,38174,18
25,30,15,16709,37
10,30,20,33375,22
10,5,10,38238,11
20,25,20,5152,43
10,20,20,17957,30
10,5,10,36222,12
25,20,15,14034,36
25,30,20,9290,43
30,30,10,18162,36
10,25,10,14171,32
30,5,15,15813,33
25,25,20,17056,36
15,20,20,31725,22
10,30,20,24052,28
10,20,15,7665,36
20,20,20,25695,28
30,5,20,27321,26
15,20,10,9301,35
20,25,20,38873,20
20,5,15,39149,14
20,5,20,16554,30
20,25,20,29239,27
15,20,15,37612,17
20,5,15,5076,37
25,20,20,27555,28
20,5,10,15369,29
10,25,20,14572,34
25,25,10,3559,43
15,5,20,3455,37
10,30,15,11576,36
30,25,15,30183,28
